TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,LOGICAL_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,KEY_POSITION,DESCRIPTION
実行権限,,会員管理テーブル,更新日時,更新日時,9,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,会員管理テーブル,更新者,更新者,10,0,NO,INT,,
実行権限,,会員管理テーブル,削除済み,削除済み,11,0,NO,BIT(1),,
実行権限,,実行権限テーブル,会員識別子,会員識別子,1,,NO,INT,1,
実行権限,,実行権限テーブル,手続き識別子,手続き識別子,2,,NO,INT,2,
実行権限,,実行権限テーブル,権限,権限,3,,NO,BIT(8),,
実行権限,,実行権限テーブル,登録日時,登録日時,4,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,実行権限テーブル,更新日時,更新日時,5,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,実行権限設定テーブル,識別子,識別子,1,,NO,INT,1,
実行権限,,実行権限設定テーブル,利用者ID,利用者ID,2,,NO,INT,,
実行権限,,実行権限設定テーブル,利用者種別,利用者種別,3,,NO,TINYINT,,1:会員、2:会員目録、3:会員グループ、4:管理者グループ（対象限定管理者グループに限る）
実行権限,,実行権限設定テーブル,利用対象ID,利用対象ID,4,,NO,INT,,
実行権限,,実行権限設定テーブル,利用対象種別,利用対象種別,5,,NO,TINYINT,,1:手続き、2:手続き目録、3:手続きグループ
実行権限,,実行権限設定テーブル,権限,権限,6,,NO,BIT(8),,"各ビットの意味＞1:読込、2:登録、3:更新（論理削除）、4:物理削除、5:インポート、6:エクスポート
"
実行権限,,実行権限設定テーブル,登録日時,登録日時,7,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,実行権限設定テーブル,登録者,登録者,8,0,NO,INT,,
実行権限,,実行権限設定テーブル,更新日時,更新日時,9,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,実行権限設定テーブル,更新者,更新者,10,0,NO,INT,,
実行権限,,実行権限設定テーブル,削除済み,削除済み,11,0,NO,BIT(1),,
実行権限,,手続きグループメンバー管理テーブル,識別子,識別子,1,,NO,INT,1,
実行権限,,手続きグループメンバー管理テーブル,手続きグループ識別子,手続きグループ識別子,2,,NO,INT,,
実行権限,,手続きグループメンバー管理テーブル,メンバーID,メンバーID,3,,NO,INT,,
実行権限,,手続きグループメンバー管理テーブル,メンバー種別,メンバー種別,4,,NO,TINYINT,,メンバーの種類。1:手続き、2:手続き目録、3:手続きグループ
実行権限,,手続きグループメンバー管理テーブル,登録日時,登録日時,5,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,手続きグループメンバー管理テーブル,登録者,登録者,6,0,NO,INT,,
実行権限,,手続きグループメンバー管理テーブル,更新日時,更新日時,7,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,手続きグループメンバー管理テーブル,更新者,更新者,8,0,NO,INT,,
実行権限,,手続きグループメンバー管理テーブル,削除済み,削除済み,9,0,NO,BIT(1),,
実行権限,,手続きグループ管理テーブル,識別子,識別子,1,,NO,INT,1,
実行権限,,手続きグループ管理テーブル,名称,名称,2,,NO,VARCHAR(100),,
実行権限,,手続きグループ管理テーブル,備考,備考,3,,YES,TEXT,,
実行権限,,手続きグループ管理テーブル,登録日時,登録日時,4,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,手続きグループ管理テーブル,登録者,登録者,5,0,NO,INT,,
実行権限,,手続きグループ管理テーブル,更新日時,更新日時,6,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,手続きグループ管理テーブル,更新者,更新者,7,0,NO,INT,,
実行権限,,手続きグループ管理テーブル,削除済み,削除済み,8,0,NO,BIT(1),,
実行権限,,手続き目録管理テーブル,識別子,識別子,1,,NO,INT,1,
実行権限,,手続き目録管理テーブル,名称,名称,2,,NO,VARCHAR(100),,
実行権限,,手続き目録管理テーブル,親目録識別子,親目録識別子,3,,YES,INT,,この目録が所属する親目録の識別子。親目録がない場合（ルート目録の場合）はNULL。
実行権限,,手続き目録管理テーブル,コントローラクラス識別子,コントローラクラス識別子,4,,YES,INT,,対応するコントローラクラスのデータ。コントローラクラスと対応していない場合はNULL。
実行権限,,手続き目録管理テーブル,備考,備考,5,,YES,TEXT,,
実行権限,,手続き目録管理テーブル,登録日時,登録日時,6,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,手続き目録管理テーブル,登録者,登録者,7,0,NO,INT,,
実行権限,,手続き目録管理テーブル,更新日時,更新日時,8,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,手続き目録管理テーブル,更新者,更新者,9,0,NO,INT,,
実行権限,,手続き目録管理テーブル,削除済み,削除済み,10,0,NO,BIT(1),,
実行権限,,手続き管理テーブル,識別子,識別子,1,,NO,INT,1,
実行権限,,手続き管理テーブル,手続きコード,手続きコード,2,,NO,VARCHAR(50),,アクセスする際にURLに付与する文字列。
実行権限,,手続き管理テーブル,手続き補助コード,手続き補助コード,3,'',NO,VARCHAR(50),,アクセスする際にURLに付与する文字列。
実行権限,,手続き管理テーブル,手続き補助コード2,手続き補助コード2,4,'',NO,VARCHAR(50),,アクセスする際にURLに付与する文字列。
実行権限,,手続き管理テーブル,名称,名称,5,,NO,VARCHAR(100),,手続きの名称。
実行権限,,手続き管理テーブル,目録識別子,目録識別子,6,,YES,INT,,手続きが所属する目録。この目録は、通常は、手続きが実装されているコントローラクラスに対応する。通常とは異なる実装に対応するため、必須とはしていない。
実行権限,,手続き管理テーブル,処理種別,処理種別,7,,NO,TINYINT,,1:検索、2:登録、3:更新、4:登録・更新、5:論理削除、6:物理削除、7:インポート、8:エクスポート、9:その他（DB操作なし）
実行権限,,手続き管理テーブル,備考,備考,8,,YES,TEXT,,
実行権限,,手続き管理テーブル,登録日時,登録日時,9,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,手続き管理テーブル,登録者,登録者,10,0,NO,INT,,
実行権限,,手続き管理テーブル,更新日時,更新日時,11,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,手続き管理テーブル,更新者,更新者,12,0,NO,INT,,
実行権限,,手続き管理テーブル,削除済み,削除済み,13,0,NO,BIT(1),,
実行権限,,管理者グループメンバー管理テーブル,識別子,識別子,1,,NO,INT,1,
実行権限,,管理者グループメンバー管理テーブル,管理者グループ識別子,管理者グループ識別子,2,,NO,INT,,
実行権限,,管理者グループメンバー管理テーブル,会員ID,会員ID,3,,NO,INT,,
実行権限,,管理者グループメンバー管理テーブル,登録日時,登録日時,4,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,管理者グループメンバー管理テーブル,登録者,登録者,5,0,NO,INT,,
実行権限,,管理者グループメンバー管理テーブル,更新日時,更新日時,6,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,管理者グループメンバー管理テーブル,更新者,更新者,7,0,NO,INT,,
実行権限,,管理者グループメンバー管理テーブル,削除済み,削除済み,8,0,NO,BIT(1),,
実行権限,,管理者グループ管理テーブル,識別子,識別子,1,,NO,INT,1,
実行権限,,管理者グループ管理テーブル,名称,名称,2,,NO,VARCHAR(100),,
実行権限,,管理者グループ管理テーブル,備考,備考,3,,YES,TEXT,,
実行権限,,管理者グループ管理テーブル,登録日時,登録日時,4,CURRENT_TIMESTAMP ,NO,TIMESTAMP,,
実行権限,,管理者グループ管理テーブル,登録者,登録者,5,0,NO,INT,,
実行権限,,管理者グループ管理テーブル,更新日時,更新日時,6,CURRENT_TIMESTAMP ON UPDATE CURRENT_TIMESTAMP,NO,TIMESTAMP,,
実行権限,,管理者グループ管理テーブル,更新者,更新者,7,0,NO,INT,,
実行権限,,管理者グループ管理テーブル,削除済み,削除済み,8,0,NO,BIT(1),,
